timestamp,ens210_status,temperature_c,temperature_f,humidity,ens16x_status,etvoc,eco2,aqi
1106240,1,22.82,73.07,41.52,OK,99,645,142
1107250,1,22.8,73.05,41.3,OK,99,645,142
1108260,1,22.79,73.02,41.15,OK,102,649,143
1109270,1,22.8,73.05,40.95,OK,109,658,147
1110280,1,22.82,73.07,40.88,OK,110,659,146
1111290,1,22.83,73.1,40.72,OK,113,663,147
1112300,1,22.83,73.1,40.62,OK,119,670,150
1113310,1,22.82,73.07,40.56,OK,120,672,149
1114320,1,22.85,73.13,40.46,OK,123,676,150
1115330,1,22.87,73.16,40.35,OK,117,668,145
1116340,1,22.83,73.1,40.33,OK,121,673,147
1117350,1,22.87,73.16,40.3,OK,129,683,152
1118360,1,22.87,73.16,40.33,OK,128,682,150
1119370,1,22.88,73.19,40.23,OK,130,684,151
1120380,1,22.82,73.07,40.19,OK,130,685,150
1121390,1,22.87,73.16,40.13,OK,130,685,150
1122400,1,22.85,73.13,40.15,OK,133,689,151
1123410,1,22.87,73.16,40.09,OK,137,694,153
1124420,1,22.88,73.19,40.07,OK,135,691,150
1125430,1,22.87,73.16,40.01,OK,140,698,154
1126440,1,22.87,73.16,39.97,OK,142,700,154
1127450,1,22.88,73.19,39.92,OK,144,702,155
1128460,1,22.88,73.19,39.85,OK,147,707,156
1129470,1,22.87,73.16,39.85,OK,149,709,156
1130480,1,22.88,73.19,39.83,OK,151,712,157
1131490,1,22.87,73.16,39.85,OK,151,712,157
1132500,1,22.87,73.16,39.83,OK,153,714,158
1133510,1,22.87,73.16,39.79,OK,144,702,151
1134520,1,22.87,73.16,39.81,OK,147,706,153
1135530,1,22.83,73.1,39.81,OK,145,704,151
1136540,1,22.87,73.16,39.83,OK,144,703,151
1137550,1,22.87,73.16,39.83,OK,147,707,153
1138560,1,22.87,73.16,39.83,OK,147,707,153
1139570,1,22.88,73.19,39.82,OK,147,706,153
1140580,1,22.87,73.16,39.81,OK,147,706,152
1141590,1,22.87,73.16,39.79,OK,154,715,157
1142600,1,22.85,73.13,39.81,OK,155,717,158
1143610,1,22.85,73.13,39.87,OK,155,717,157
1144620,1,22.83,73.1,39.81,OK,149,709,153
1145630,1,22.87,73.16,39.83,OK,151,712,154
1146640,1,22.83,73.1,39.79,OK,157,720,158
1147650,1,22.83,73.1,39.75,OK,162,726,161
1148660,1,22.87,73.16,39.78,OK,160,723,159
1149670,1,22.82,73.07,39.79,OK,161,724,159
1150680,1,22.83,73.1,39.75,OK,160,723,158
1151690,1,22.83,73.1,39.77,OK,164,728,160
1152700,1,22.82,73.07,39.75,OK,164,728,160
1153710,1,22.82,73.07,39.79,OK,163,727,159
1154720,1,22.83,73.1,39.79,OK,164,729,160
1155730,1,22.82,73.07,39.81,OK,164,729,160
1156740,1,22.83,73.1,39.81,OK,167,732,161
1157750,1,22.83,73.1,39.81,OK,167,732,161
1158760,1,22.8,73.05,39.79,OK,168,733,161
